,text,favourites_count,retweet_count,statuses_count,created_at,followers_count,friends_count,listed_count,verified
0,"@JVSFaithRose2 @WorldWideCnflct @paulkrugman We are living in a digital age those things served as inflation hedge in an analog world &amp; were subject to expropriation,because of their physical nature.Bitcoin &amp; crypto are digital anyone can cross borders with literally no sign of there entire net worth..",27372,0,6221,2021-11-14 23:59:58+00:00,361,1160,3,False
1,"RT @mark_cullen: -- When Macro Top? When Exit/Sell? --

This thread will cover a few indicators and metrics i will be looking at to help meâ€¦",789,652,891,2021-11-14 23:59:58+00:00,36,162,0,False
2,"RT @ICOAnnouncement: ğŸ™ New Project

ğŸ”· Euphoria (EUPH)

ğŸ”¶ Euphoria is a decentralized P2P gaming and betting platform based on blockchain teâ€¦",422,1003,919,2021-11-14 23:59:58+00:00,19,850,0,False
3,"RT @ICOAnnouncement: ğŸ™ New Project

ğŸ”· Euphoria (EUPH)

ğŸ”¶ Euphoria is a decentralized P2P gaming and betting platform based on blockchain teâ€¦",60,1003,140,2021-11-14 23:59:58+00:00,9,182,1,False
4,@963annaquay @malnote Um fiat is the problem not bitcoin lol.,31668,0,34658,2021-11-14 23:59:58+00:00,700,3800,3,False
5,"@CryptoWizardd @bitcoin_brown $SAINT - #SAINTINU

2 weeks old âœ…
$250,000+ donated to charity âœ…
2,000 + holders âœ…
Solid group audit âœ…
Certik audit underway âœ…
Great community âœ…
Small market cap âœ…
Top marketing agency âœ…
#GM #PN #WAGMI #KIBA #SAITAMA #GN 

https://t.co/1cPvzxSGyf",8673,0,2034,2021-11-14 23:59:57+00:00,171,241,1,False
6,"#Investing 54.1% in this optimal #crypto portfolio and 45.9% #cash in the past 24 hours would have given you a 3.1% return rather than #Bitcoin's 1.3%, for the same level of #risk https://t.co/CJpMH2VxlZ",214,0,5484,2021-11-14 23:59:57+00:00,3053,2887,53,False
7,"TRENDICATOR ALERT ğŸ§²

LONG $BTC @ $65468 ğŸ“ˆ

Starting Balance: 1000
Updated Balance: 1808
Cumulative Return: +80%

#Bitcoin #Trading #Crypto https://t.co/Dm7hOcKWL0",1,0,87,2021-11-14 23:59:57+00:00,66,0,1,False
8,"RT @airdropinspect: New airdrop: GM (USDT)
Total Reward: 5,000 USDT
Rate: â­ï¸â­ï¸â­ï¸â­ï¸
Winners: 1,000 Random &amp; Top 100
Distribution: within 5 dâ€¦",374,9958,1171,2021-11-14 23:59:56+00:00,1093,1940,0,False
9,"Best #cryptocurrency risk-adjusted returns in the past 24 hours:
1. #Litecoin $LTC
2. #Decred $DCR
3. #Bitcoin $BTC https://t.co/U3lRmrf3W5",214,5,5484,2021-11-14 23:59:56+00:00,3053,2887,53,False
